time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2024-03-23 02:07:42.038 UTC, ,125,3165309,1312,19232,224, ,4, , , , , , , , , , , ,4,4, , , ,3,1,5, , , , , , , , , , , , , , , , ,3799,3, ,2922, , , , ,3844,260928217088,36,36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3844, ,1711159541868, , , , ,3145728,3799, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,30408704,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-03-23 02:17:34.545 UTC, ,125,3165309,1312,19232,224, ,4, , , , , , , , , , , ,4,4, , , ,3,1,5, , , , , , , , , , , , , , , , ,3799,3, ,2922, , , , ,3844,260923437056,36,36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3844, ,1711159541868, , , , ,3145728,3799, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,30408704,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-03-23 02:18:34.554 UTC, ,125,3165309,1312,19232,224, ,4, , , , , , , , , , , ,4,4, , , ,3,1,5, , , , , , , , , , , , , , , , ,3799,3, ,2922, , , , ,3844,260861857792,36,36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3844, ,1711159541868, , , , ,3145728,3799, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,30408704,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-03-23 02:39:32.978 UTC, ,125,3165309,1312,19232,224, ,4, , , , , , , , , , , ,4,4, , , ,3,1,5, , , , , , , , , , , , , , , , ,3799,3, ,2922, , , , ,3844,260867497984,36,36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3844, ,1711159541868, , , , ,3145728,3799, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,30408704,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-03-23 02:40:32.981 UTC, ,125,3165309,1312,19232,224, ,4, , , , , , , , , , , ,4,4, , , ,3,1,5, , , , , , , , , , , , , , , , ,3799,3, ,2922, , , , ,3844,260849934336,36,36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3844, ,1711159541868, , , , ,3145728,3799, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,1,7,13177856,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-03-23 02:41:19.073 UTC, ,125,3165085,1312,19232, , ,4, , , , , , , , , , , ,4,4, , , ,3,1,5, , , , , , , , , , , , , , , , ,3799,3, ,2922, , , , ,3844,260902707200,36,36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3844, ,1711159541868, , , , ,3145728,3799, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,14226432,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-03-23 02:42:12.094 UTC, ,125,3160333,1184,14480, , ,3,1,24,3,0.13, , , , , , , ,3,3, ,2,1,2,1,5, ,24,11, , , , , , , , , , , , , ,3799,3, ,2922, , , , ,3844,260901453824,-1,-1, , , , , ,1,57, , , , , , , , , , , , , , , , , , , , , , , , , ,3844, ,1711161731852, , , , ,3145728,3799, , ,20,0, , , ,2, , , ,3, , , , ,20, ,2048,1, , , , ,103027,31, , , , , , , , , , ,27262976,2, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-03-23 02:42:28.884 UTC, ,125,3163477,1184,17624, , ,4, ,3,1,0.33, , , , , , , ,4,4, , , ,3,2,6, ,2,1, , , , , , , , , , , , , ,3799,3, ,2922, , , , ,3844,260901453824,36,36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3844, ,1711161731852, , , , ,3145728,3799, , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,6183,4, , , , , , , , , , ,29360128,2, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , 
2024-03-23 02:42:41.983 UTC, ,125,3160333,1184,14480, , ,3,1,24,3,0.13, , , , , , , ,3,3, ,2,1,2,1,5, ,24,11, , , , , , , , , , , , , ,3799,3, ,2922, , , , ,3844,260901351424,-1,-1, , , , , ,1,57, , , , , , , , , , , , , , , , , , , , , , , , , ,3844, ,1711161761743, , , , ,3145728,3799, , ,20,0, , , ,2, , , ,3, , , , ,20, ,2048,1, , , , ,103027,31, , , , , , , , , , ,26214400,2, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-03-23 02:43:41.992 UTC, ,125,3165309,1312,19232,224, ,4, ,6,1,0.17, , , , , , , ,4,4, , , ,3,1,5, ,5,4, , , , , , , , , , , , , ,3799,3, ,2922, , , , ,3844,260900155392,36,36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3844, ,1711161761743, , , , ,3145728,3799, , ,6,0, , , ,1, , , ,3, , , , ,6,1, , , , , , ,6315,7, , , , , , , , , , ,30408704,2, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , , , , , , , 
2024-03-23 02:44:19.231 UTC, ,125,3165085,1312,19232, , ,4, , , , , , , , , , , ,4,4, , , ,3,1,5, , , , , , , , , , , , , , , , ,3799,3, ,2922, , , , ,3844,260900179968,36,36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3844, ,1711161761743, , , , ,3145728,3799, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,30408704,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-03-23 02:44:48.684 UTC, ,125,3160333,1184,14480, , ,3,1,24,3,0.13, , , , , , , ,3,3, ,2,1,2,1,5, ,24,11, , , , , , , , , , , , , ,3799,3, ,2922, , , , ,3844,260900622336,36,36, , , , , ,1,57, , , , , , , , , , , , , , , , , , , , , , , , , ,3844, ,1711161888445, , , , ,3145728,3799, , ,20,0, , , ,2, , , ,3, , , , ,20, ,2048,1, , , , ,103027,31, , , , , , , , , , ,27262976,1, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-03-23 02:45:48.693 UTC, ,125,3165309,1312,19232,224, ,4, ,6,1,0.17, , , , , , , ,4,4, , , ,3,1,5, ,5,4, , , , , , , , , , , , , ,3799,3, ,2922, , , , ,3844,260916006912,36,36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3844, ,1711161888445, , , , ,3145728,3799, , ,6,0, , , ,1, , , ,3, , , , ,6,1, , , , , , ,6315,7, , , , , , , , , , ,30408704,1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , , , , , , , 
2024-03-23 02:46:48.697 UTC, ,125,3165309,1312,19232,224, ,4, , , , , , , , , , , ,4,4, , , ,3,1,5, , , , , , , , , , , , , , , , ,3799,3, ,2922, , , , ,3844,260915679232,36,36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3844, ,1711161888445, , , , ,3145728,3799, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,30408704,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-03-23 02:47:48.705 UTC, ,125,3165309,1312,19232,224, ,4, , , , , , , , , , , ,4,4, , , ,3,1,5, , , , , , , , , , , , , , , , ,3799,3, ,2922, , , , ,3844,260915310592,36,36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3844, ,1711161888445, , , , ,3145728,3799, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,30408704,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-03-23 02:48:48.710 UTC, ,125,3165309,1312,19232,224, ,4, , , , , , , , , , , ,4,4, , , ,3,1,5, , , , , , , , , , , , , , , , ,3799,3, ,2922, , , , ,3844,260913942528,36,36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3844, ,1711161888445, , , , ,3145728,3799, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,30408704, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-03-23 02:49:48.715 UTC, ,125,3165309,1312,19232,224, ,4, , , , , , , , , , , ,4,4, , , ,3,1,5, , , , , , , , , , , , , , , , ,3799,3, ,2922, , , , ,3844,260919750656,36,36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3844, ,1711161888445, , , , ,3145728,3799, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,30408704,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-03-23 02:50:48.722 UTC, ,125,3165309,1312,19232,224, ,4, , , , , , , , , , , ,4,4, , , ,3,1,5, , , , , , , , , , , , , , , , ,3799,3, ,2922, , , , ,3844,260919300096,36,36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3844, ,1711161888445, , , , ,3145728,3799, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,1,7,13203968,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-03-23 02:51:48.730 UTC, ,125,3165309,1312,19232,224, ,4, , , , , , , , , , , ,4,4, , , ,3,1,5, , , , , , , , , , , , , , , , ,3799,3, ,2922, , , , ,3844,260919521280,36,36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3844, ,1711161888445, , , , ,3145728,3799, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,14252544,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-03-23 02:52:37.083 UTC, ,125,3165085,1312,19232, , ,4, , , , , , , , , , , ,4,4, , , ,3,1,5, , , , , , , , , , , , , , , , ,3799,3, ,2922, , , , ,3844,260919472128,36,36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3844, ,1711161888445, , , , ,3145728,3799, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,14252544,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
